Plot	Date	Precip1	Precip2	Precip3	Daylight	Air.Temp	GDD	S.GDD	C.GDD	Crop	Year	Stage	Type	Tillage	Moisture	nrfA.g	nirK.g	nirS.g	nosZI.g	nosZII.g
NT1R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	NT	0.224637681	1088826.191	128790731.2	4362729.421	6475198.598	33468830.47
NT2R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	NT	0.241877256	3875905.089	15764663.57	3201655.695	9788960.51	40936452.91
NT3R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	NT	0.19395466	3136312.654	5340843.481	1861406.456	6178034.848	7784519.913
NT4R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	NT	0.246153846	1068789.163	12248289.59	1049439.592	5341800.816	15284367.96
CD1R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	CD	0.202846975	715430.2652	16010017.65	12565148.33	14863477.94	75243560.68
CD2R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	CD	0.226666667	644223.1034	178256819	4611054.31	13164843.62	57972142.24
CD3R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	CD	0.225806452	1077988.058	182864220.8	11833958.08	29525726.03	48895173.67
CD4R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	CD	0.224299065	1172570.973	19075761.47	6148537.133	9318655.525	22959611.37
MP1R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	MP	0.247191011	877100.8448	81682207.46	3732349.164	5438772.2	22741274.69
MP2R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	MP	0.236842105	518928.2621	59497543.45	4830203.586	6070687.903	26594913.24
MP3R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	MP	0.215613383	900690.0227	27267471.85	3391615.744	9175518.607	10209960.02
MP4R	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Rhiz	MP	0.218085106	617474.6177	65952497.41	3958607.293	8652662.912	41791862.86
NT1S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	NT	0.224637681	1739348.389	29266758.84	1363133.047	13444033.26	25061865.31
NT2S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	NT	0.241877256	1435186.069	38720136.34	1012466.657	14450295.41	5839732.467
NT3S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	NT	0.19395466	2499239.063	97874427.26	2615210.206	17206656.64	10992505.71
NT4S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	NT	0.246153846	1426687.653	40842832.24	1085242.653	16820877.76	8914301.633
CD1S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	CD	0.202846975	1113859.413	47203980.7	1800439.759	19718680.99	12301404.74
CD2S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	CD	0.226666667	716713.9655	37958555.17	676300.8621	10741007.33	7224297.414
CD3S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	CD	0.225806452	1569691.2	88917842.5	3430627.917	16823783.7	14795641.25
CD4S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	CD	0.224299065	1190092.159	112248852.8	2215062.434	16460180.5	21802469.54
MP1S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	MP	0.247191011	580257.9493	51586498.81	1458433.701	4918998.119	2433459.254
MP2S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	MP	0.236842105	619991.2276	106122154.5	1446762.207	11782919.71	4263762.483
MP3S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	MP	0.215613383	757474.4227	79201376.78	1138971.498	13342423.97	5602693.754
MP4S	6.14.18	3.81	0	4.318	15.05	67	236	0	236	Corn	2018	Corn.V3	Bulk	MP	0.218085106	682508.2939	99466733.06	1640145.252	653249.0993	15216111.24
NT1R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	NT	0.244444444	613277.4706	9147774.706	4499661.176	612294.0882	29978293.24
NT2R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	NT	0.243654822	1304497.773	14192414.15	5141906.255	3719280.671	41404666.71
NT3R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	NT	0.21192053	3113637.003	17590068.67	2645565.681	3439569.869	27060588.18
NT4R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	NT	0.16	1222966.667	8723047.619	3260983.333	3627500.714	54162938.1
CD1R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	CD	0.23923445	383768.4289	15401612.23	11423640.3	5489690.219	55895998.43
CD2R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	CD	0.206751055	1146999.823	9146828.426	5648007.511	4116558.389	37540568.04
CD3R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	CD	0.205223881	287922.8432	23939199.4	10306230.65	6165287.155	93589759.66
CD4R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	CD	0.194842407	621910.548	18126950.7	11925610.69	8879829.814	84260543
MP1R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	MP	0.211382114	264229.1072	10485450.74	3002120.598	2730503.122	22721683.48
